Dist,Incumbent_x,PVI,Clinton %,Trump %,Obama %,Romney %,split_x,state,num,District,2017 CPVI,Incumbent_y,Last result,Cook,IE,Sabato,Politico,Daily Kos,RCP,Niskanen,Safe R,Likely R,Lean R,Tilt R,Tossup,Safe D,Likely D,Lean D,Tilt D,Consensus,Max,Confidence,split_y
AL-01,Bradley Byrne (R),R+15,33.8,63.0,37.3,61.7,"['AL', '01']",AL,1,,,,,,,,,,,,,,,,,,,,,,,,
AL-02,Martha Roby (R),R+16,32.8,64.5,36.4,62.8,"['AL', '02']",AL,2,,,,,,,,,,,,,,,,,,,,,,,,
AL-03,Mike Rogers (R),R+16,31.9,64.8,36.7,62.2,"['AL', '03']",AL,3,,,,,,,,,,,,,,,,,,,,,,,,
AL-04,Robert Aderholt (R),R+30,17.3,79.8,23.9,74.7,"['AL', '04']",AL,4,,,,,,,,,,,,,,,,,,,,,,,,
AL-05,Mo Brooks (R),R+18,30.9,63.7,34.8,63.7,"['AL', '05']",AL,5,,,,,,,,,,,,,,,,,,,,,,,,
AL-06,Gary Palmer (R),R+26,25.8,69.6,24.6,74.3,"['AL', '06']",AL,6,,,,,,,,,,,,,,,,,,,,,,,,
AL-07,Terri Sewell (D),D+20,69.5,28.3,72.5,27.0,"['AL', '07']",AL,7,,,,,,,,,,,,,,,,,,,,,,,,
AK-AL,Don Young (R),R+9,36.6,51.3,40.8,54.8,"['AK', 'AL']",AK,0,Alaska at-large,R+9,Don Young  (R),53.1% R,Lean R,Likely R,Likely R,Likely R,Likely R,Likely R,Lean R,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Likely R,5.0,0.7142857142857143,"['Alaska', 'at-large']"
AZ-01,Tom O'Halleran (D),R+2,46.0,47.0,47.9,50.4,"['AZ', '01']",AZ,1,Arizona 1,R+2,Tom O'Halleran  (D),53.8% D,Lean D,Likely D,Likely D,Lean D,Lean D,Lean D,Safe D,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,Lean D,4.0,0.5714285714285714,"['Arizona', '1']"
AZ-02,Ann Kirkpatrick (D),R+1,48.7,43.9,48.4,49.9,"['AZ', '02']",AZ,2,Arizona 2,R+1,Ann Kirkpatrick  (D),54.7% D,Safe D,Safe D,Likely D,Likely D,Safe D,Lean D,Safe D,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,Safe D,4.0,0.5714285714285714,"['Arizona', '2']"
AZ-03,Raul Grijalva (D),D+13,61.6,32.1,61.4,36.9,"['AZ', '03']",AZ,3,,,,,,,,,,,,,,,,,,,,,,,,
AZ-04,Paul Gosar (R),R+21,27.0,66.4,31.0,67.2,"['AZ', '04']",AZ,4,,,,,,,,,,,,,,,,,,,,,,,,
AZ-05,Andy Biggs (R),R+15,35.5,56.1,34.6,63.8,"['AZ', '05']",AZ,5,,,,,,,,,,,,,,,,,,,,,,,,
AZ-06,David Schweikert (R),R+9,41.7,51.6,38.8,59.5,"['AZ', '06']",AZ,6,Arizona 6,R+9,David Schweikert  (R),55.2% R,Tossup,Lean R,Lean R,Lean R,Lean R,Lean R,Tossup,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,Lean R,5.0,0.7142857142857143,"['Arizona', '6']"
AZ-07,Ruben Gallego (D),D+23,70.6,22.3,71.7,26.5,"['AZ', '07']",AZ,7,,,,,,,,,,,,,,,,,,,,,,,,
AZ-08,Debbie Lesko (R),R+13,36.4,57.1,36.9,61.7,"['AZ', '08']",AZ,8,Arizona 8,R+13,Debbie Lesko  (R),55.5% R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Safe R,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe R,6.0,0.8571428571428571,"['Arizona', '8']"
AZ-09,Greg Stanton (D),D+4,53.5,37.6,51.1,46.6,"['AZ', '09']",AZ,9,,,,,,,,,,,,,,,,,,,,,,,,
AR-01,Rick Crawford (R),R+17,30.2,65.0,36.3,61.0,"['AR', '01']",AR,1,,,,,,,,,,,,,,,,,,,,,,,,
AR-02,French Hill (R),R+7,41.7,52.4,42.9,54.8,"['AR', '02']",AR,2,Arkansas 2,R+7,French Hill  (R),52.1% R,Likely R,Likely R,Lean R,Likely R,Likely R,Likely R,Lean R,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Likely R,5.0,0.7142857142857143,"['Arkansas', '2']"
AR-03,Steve Womack (R),R+19,30.5,61.9,31.6,65.5,"['AR', '03']",AR,3,,,,,,,,,,,,,,,,,,,,,,,,
AR-04,Bruce Westerman (R),R+17,31.3,64.2,35.9,61.8,"['AR', '04']",AR,4,,,,,,,,,,,,,,,,,,,,,,,,
CA-01,Doug LaMalfa (R),R+11,36.0,55.4,40.1,56.4,"['CA', '01']",CA,1,California 1,R+11,Doug LaMalfa  (R),54.9% R,Safe R,Safe R,Safe R,Likely R,Safe R,Likely R,Safe R,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe R,5.0,0.7142857142857143,"['California', '1']"
CA-02,Jared Huffman (D),D+22,68.3,23.1,68.9,26.9,"['CA', '02']",CA,2,,,,,,,,,,,,,,,,,,,,,,,,
CA-03,John Garamendi (D),D+5,52.6,40.1,54.3,43.1,"['CA', '03']",CA,3,California 3,D+5,John Garamendi  (D),58.1% D,Safe D,Safe D,Safe D,Likely D,Safe D,Likely D,Safe D,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,Safe D,5.0,0.7142857142857143,"['California', '3']"
